row_type,scenario,method,comparison,metric,mean,median,std,min,max,positive_count,negative_count
paired_delta,a2,,R2-R0,delta_known_frr,-0.000666666666666664,0.0016666666666666705,0.00924962461700774,-0.013333333333333329,0.011666666666666672,3,2
paired_delta,a2,,R2-R0,delta_known_macro_f1,0.001214615817162712,0.010645450583985139,0.017152467468541512,-0.027809960049356763,0.013164077509893568,3,2
paired_delta,a2,,R2-R1,delta_auroc,0.03482111111111108,0.03410555555555561,0.02758835452787197,0.0002055555555554589,0.07652777777777764,5,0
paired_delta,a2,,R2-R1,delta_auprc,0.018041227861414842,0.01877151967333679,0.013656063998044633,-0.0021824683984431603,0.036361939012921396,4,1
paired_delta,a2,,R2-R1,delta_binary_f1,0.0213146827167102,0.013325159736306214,0.015818213670684797,0.005637696029783701,0.039631210242370596,5,0
paired_delta,a2,,R2-R1,delta_ufar,-0.031999999999999994,-0.02999999999999997,0.025369491739313785,-0.05833333333333332,-0.0016666666666666705,0,5
paired_delta,a2,,R2-R1,delta_known_frr,-0.0016666666666666676,-0.0050000000000000044,0.010000000000000002,-0.010000000000000002,0.013333333333333336,2,3
paired_delta,a2,,R2-R1,delta_known_macro_f1,0.004160092386468151,0.0016132553770973335,0.01544017014710318,-0.010726234701768145,0.025125508291632404,3,2
paired_delta,a2,,R3-R2,delta_auroc,-0.0007599999999999385,0.004266666666666752,0.007544759597001269,-0.012336111111110992,0.004475000000000007,3,2
paired_delta,a2,,R3-R2,delta_auprc,-0.002065694428621212,-0.0003473681850270083,0.008114903805792077,-0.015673945894509655,0.004960044144709075,2,3
paired_delta,a2,,R3-R2,delta_binary_f1,-0.003450338507129458,0.00958324439031133,0.03619186342753461,-0.058997392060272325,0.037456288788862535,3,2
paired_delta,a2,,R3-R2,delta_ufar,0.0016666666666666648,-0.016666666666666663,0.059324905768525615,-0.07,0.08833333333333332,2,3
paired_delta,a2,,R3-R2,delta_known_frr,0.0016666666666666642,0.0016666666666666635,0.00424918292799399,-0.0050000000000000044,0.006666666666666668,4,1
paired_delta,a2,,R3-R2,delta_known_macro_f1,-0.006742258571429427,-0.006720163760248865,0.013627222912292429,-0.02204025607888027,0.014455779398230839,1,4
method_metric,a3,R0,,auroc,0.9699341921308641,0.9753835481855088,0.01824525564933681,0.9427439452023816,0.9901372232348992,,
method_metric,a3,R0,,auprc,0.9662005435501456,0.9702604042902778,0.019358071563802516,0.9422124820162916,0.9911612356684705,,
method_metric,a3,R0,,binary_f1,0.9166790704033161,0.9329929802169751,0.041168031352211684,0.8493894165535957,0.9531442663378545,,
method_metric,a3,R0,,ufar,0.11025957972805933,0.09641532756489493,0.0715088625857902,0.04449938195302843,0.22620519159456118,,
method_metric,a3,R0,,known_frr,0.04894932014833127,0.049443757725587144,0.009598649522035688,0.03337453646477132,0.05686032138442522,,
method_metric,a3,R0,,known_macro_f1,0.9735443495397176,0.9742125437193901,0.005689020114529212,0.966327766762063,0.9814184032871406,,
method_metric,a3,R1,,auroc,0.9903818445455252,0.9892571365708095,0.004061493804839224,0.9855939286243603,0.9948707449108529,,
method_metric,a3,R1,,auprc,0.985621268164406,0.9814441666615695,0.007377255310997902,0.9790668459865579,0.9938053135709966,,
method_metric,a3,R1,,binary_f1,0.963398071243509,0.9652650822669104,0.009182565896049462,0.9491109748620479,0.9736680955296999,,
method_metric,a3,R1,,ufar,0.02373300370828183,0.021013597033374538,0.011138571397843078,0.016069221260815822,0.04326328800988875,,
method_metric,a3,R1,,known_frr,0.050432632880098895,0.049443757725587144,0.00938943338187043,0.03584672435105068,0.059332509270704575,,
method_metric,a3,R1,,known_macro_f1,0.9756363582245694,0.9752015800812851,0.005850355365774688,0.9695803191417974,0.9817508990838325,,
method_metric,a3,R2,,auroc,0.992982072818004,0.993374903167548,0.003009381811440006,0.987895752512296,0.9954742765641784,,
method_metric,a3,R2,,auprc,0.9867815904396497,0.988199069390035,0.006134953445948442,0.9774539693965253,0.9939317590144212,,
method_metric,a3,R2,,binary_f1,0.970918451225056,0.9721886336154776,0.003861249422071192,0.9657657657657658,0.974390243902439,,
method_metric,a3,R2,,ufar,0.0103831891223733,0.00865265760197775,0.005215086059265509,0.006180469715698393,0.018541409147095178,,
method_metric,a3,R2,,known_frr,0.04894932014833127,0.05067985166872682,0.012563239502864686,0.03337453646477132,0.06427688504326329,,
method_metric,a3,R2,,known_macro_f1,0.9724420349173053,0.9728541148369526,0.008564263079647477,0.9596391262547557,0.9810867283286001,,
method_metric,a3,R3,,auroc,0.9899601363523158,0.9915910469517067,0.004167145572752326,0.9826014811736322,0.9927423408777336,,
method_metric,a3,R3,,auprc,0.9811042958024959,0.983961686426511,0.010679663904480552,0.9627501599412933,0.9887429277369877,,
method_metric,a3,R3,,binary_f1,0.965693154577856,0.9687875150060024,0.010679988994536774,0.950186799501868,0.9768292682926829,,
