protocol_id,setting,seed,method,analysis_type,application,precision,recall,f1,support,known_frr,unknown_recall,ufar,score_mean,score_median,top_absorbing_known_class,top_absorbed_count,hard_class
low_seed2025,Low,2025,M1,known_true_class,sftp,0.4659090909090909,0.4939759036144578,0.47953216374269003,166,0.024096385542168676,,,0.6521712566592144,0.2641630132393282,,,True
low_seed2025,Low,2025,M1,known_true_class,skype,1.0,0.9603174603174603,0.979757085020243,126,0.07142857142857142,,,1.6577214961916964,0.5875562580548434,,,False
low_seed2025,Low,2025,M1,known_true_class,ssh,0.9948453608247423,0.9963126843657817,0.9955784819454679,1356,0.028023598820058997,,,0.33316434898755554,0.044938845289101456,,,False
low_seed2025,Low,2025,M1,known_true_class,youtube,0.9354838709677419,0.8529411764705882,0.8923076923076924,34,0.17647058823529413,,,1.470214545975286,0.6110002458761052,,,False
low_seed2025,Low,2025,M1,unknown_true_class,vimeo,,,,1218,,0.03940886699507389,0.9605911330049262,1.5953047509002658,1.2453496025296769,youtube,691,False
low_seed2025,Low,2025,M1,unknown_true_class,zoiper,,,,939,,0.7571884984025559,0.24281150159744408,7.756583613339223,7.72560585382026,skype,658,False
low_seed2025,Low,2025,M2,known_true_class,netflix,0.782608695652174,0.9,0.8372093023255814,20,0.2,,,24.074429274088345,14.848708428465239,,,False
low_seed2025,Low,2025,M2,known_true_class,rdp,0.4,1.0,0.5714285714285714,4,1.0,,,117.91524943713529,95.1228652491796,,,False
low_seed2025,Low,2025,M2,known_true_class,rsync,0.36990595611285265,0.6178010471204188,0.4627450980392157,191,0.020942408376963352,,,5.371037585196904,1.8213098322829646,,,True
low_seed2025,Low,2025,M2,known_true_class,scp,0.4431818181818182,0.1703056768558952,0.24605678233438485,229,0.017467248908296942,,,4.851258103099647,1.9556181572942646,,,True
low_seed2025,Low,2025,M2,known_true_class,sftp,0.4659090909090909,0.4939759036144578,0.47953216374269003,166,0.024096385542168676,,,6.88311697765605,2.807280977850019,,,True
low_seed2025,Low,2025,M2,known_true_class,skype,1.0,0.9603174603174603,0.979757085020243,126,0.0873015873015873,,,20.954007473233993,7.5924951160779,,,False
