method,protocol_id,setting,protocol_seed,class,local_label,precision,recall,f1,support,train_support,delta_precision_vs_od,delta_recall_vs_od,delta_f1_vs_od
od,high_seed2024,High,2024,sftp,3,0.773109243697479,0.5542168674698795,0.6456140350877193,166,1336,0.0,0.0,0.0
f0,high_seed2024,High,2024,sftp,3,0.4186046511627907,0.6506024096385542,0.5094339622641509,166,1336,-0.3545045925346883,0.09638554216867468,-0.13618007282356837
f2,high_seed2024,High,2024,sftp,3,0.5055555555555555,0.5481927710843374,0.5260115606936416,166,1336,-0.2675536881419235,-0.0060240963855421326,-0.11960247439407767
od,high_seed2024,High,2024,skype,4,0.9920634920634921,0.9920634920634921,0.9920634920634921,126,1017,0.0,0.0,0.0
f0,high_seed2024,High,2024,skype,4,0.9807692307692308,0.8095238095238095,0.8869565217391304,126,1017,-0.011294261294261254,-0.18253968253968256,-0.10510697032436167
f2,high_seed2024,High,2024,skype,4,0.9307692307692308,0.9603174603174603,0.9453125,126,1017,-0.0612942612942613,-0.031746031746031744,-0.04675099206349209
od,high_seed2024,High,2024,youtube,5,0.8947368421052632,1.0,0.9444444444444444,34,273,0.0,0.0,0.0
f0,high_seed2024,High,2024,youtube,5,0.5172413793103449,0.8823529411764706,0.6521739130434783,34,273,-0.3774954627949183,-0.11764705882352944,-0.29227053140096615
f2,high_seed2024,High,2024,youtube,5,0.625,0.1470588235294117,0.2380952380952381,34,273,-0.26973684210526316,-0.8529411764705883,-0.7063492063492063
od,high_seed2025,High,2025,netflix,0,1.0,1.0,1.0,20,165,0.0,0.0,0.0
f0,high_seed2025,High,2025,netflix,0,1.0,0.7,0.8235294117647058,20,165,0.0,-0.30000000000000004,-0.17647058823529416
f2,high_seed2025,High,2025,netflix,0,0.9375,0.75,0.8333333333333334,20,165,-0.0625,-0.25,-0.16666666666666663
od,high_seed2025,High,2025,rdp,1,1.0,0.5,0.6666666666666666,4,36,0.0,0.0,0.0
f0,high_seed2025,High,2025,rdp,1,0.6666666666666666,0.5,0.5714285714285715,4,36,-0.33333333333333337,0.0,-0.09523809523809512
f2,high_seed2025,High,2025,rdp,1,0.0,0.0,0.0,4,36,-1.0,-0.5,-0.6666666666666666
od,high_seed2025,High,2025,rsync,2,0.6170212765957447,0.1518324607329843,0.24369747899159663,191,1530,0.0,0.0,0.0
f0,high_seed2025,High,2025,rsync,2,0.0,0.0,0.0,191,1530,-0.6170212765957447,-0.1518324607329843,-0.24369747899159663
f2,high_seed2025,High,2025,rsync,2,0.0,0.0,0.0,191,1530,-0.6170212765957447,-0.1518324607329843,-0.24369747899159663
od,high_seed2025,High,2025,scp,3,0.5652173913043478,0.9082969432314411,0.6968174204355109,229,1832,0.0,0.0,0.0
f0,high_seed2025,High,2025,scp,3,0.5308056872037915,0.9781659388646288,0.6881720430107527,229,1832,-0.03441170410055627,0.06986899563318771,-0.008645377424758127
f2,high_seed2025,High,2025,scp,3,0.5325301204819277,0.965065502183406,0.686335403726708,229,1832,-0.03268727082242007,0.056768558951964976,-0.010482016708802888
od,high_seed2025,High,2025,skype,4,0.9767441860465116,1.0,0.9882352941176471,126,1017,0.0,0.0,0.0
f0,high_seed2025,High,2025,skype,4,0.983739837398374,0.9603174603174603,0.9718875502008032,126,1017,0.00699565135186242,-0.03968253968253965,-0.016347743916843904
f2,high_seed2025,High,2025,skype,4,0.9689922480620154,0.992063492063492,0.9803921568627452,126,1017,-0.007751937984496138,-0.00793650793650802,-0.007843137254901933
od,high_seed2025,High,2025,ssh,5,0.9963235294117647,0.9992625368731564,0.9977908689248896,1356,10851,0.0,0.0,0.0
f0,high_seed2025,High,2025,ssh,5,0.9934017595307918,0.9992625368731564,0.9963235294117648,1356,10851,-0.0029217698809729242,0.0,-0.0014673395131247213
f2,high_seed2025,High,2025,ssh,5,0.9919472913616398,0.9992625368731564,0.9955914768552534,1356,10851,-0.004376238050124881,0.0,-0.0021993920696361524
od,high_seed2026,High,2026,netflix,0,0.9047619047619048,0.95,0.926829268292683,20,165,0.0,0.0,0.0
f0,high_seed2026,High,2026,netflix,0,0.0,0.0,0.0,20,165,-0.9047619047619048,-0.95,-0.926829268292683
f2,high_seed2026,High,2026,netflix,0,0.6956521739130435,0.8,0.7441860465116279,20,165,-0.2091097308488613,-0.1499999999999999,-0.18264322178105508
od,high_seed2026,High,2026,rsync,1,1.0,0.9790575916230366,0.9894179894179894,191,1530,0.0,0.0,0.0
f0,high_seed2026,High,2026,rsync,1,0.9424083769633508,0.9424083769633508,0.9424083769633508,191,1530,-0.05759162303664922,-0.03664921465968585,-0.04700961245463864
f2,high_seed2026,High,2026,rsync,1,1.0,0.9528795811518324,0.9758713136729222,191,1530,0.0,-0.02617801047120427,-0.013546675745067183
od,high_seed2026,High,2026,skype,2,0.9921259842519685,1.0,0.9960474308300395,126,1017,0.0,0.0,0.0
f0,high_seed2026,High,2026,skype,2,1.0,0.8095238095238095,0.8947368421052632,126,1017,0.007874015748031482,-0.19047619047619047,-0.10131058872477638
f2,high_seed2026,High,2026,skype,2,0.9765625,0.992063492063492,0.9842519685039368,126,1017,-0.015563484251968518,-0.00793650793650802,-0.011795462326102735
od,high_seed2026,High,2026,ssh,3,0.9970566593083149,0.9992625368731564,0.998158379373849,1356,10851,0.0,0.0,0.0
f0,high_seed2026,High,2026,ssh,3,0.9818840579710144,0.9992625368731564,0.990497076023392,1356,10851,-0.015172601337300473,0.0,-0.007661303350457005
f2,high_seed2026,High,2026,ssh,3,0.9941089837997056,0.995575221238938,0.9948415622697128,1356,10851,-0.0029476755086093043,-0.0036873156342183133,-0.003316817104136227
od,high_seed2026,High,2026,vimeo,4,0.9916666666666667,0.9834710743801653,0.9875518672199171,121,976,0.0,0.0,0.0
f0,high_seed2026,High,2026,vimeo,4,0.8712121212121212,0.950413223140496,0.9090909090909092,121,976,-0.12045454545454548,-0.03305785123966931,-0.07846095812900789
f2,high_seed2026,High,2026,vimeo,4,0.9338842975206612,0.9338842975206612,0.9338842975206612,121,976,-0.05778236914600554,-0.04958677685950419,-0.0536675696992559
od,high_seed2026,High,2026,zoiper,5,1.0,1.0,1.0,93,753,0.0,0.0,0.0
f0,high_seed2026,High,2026,zoiper,5,0.9019607843137256,0.989247311827957,0.9435897435897436,93,753,-0.09803921568627438,-0.010752688172043001,-0.05641025641025643
f2,high_seed2026,High,2026,zoiper,5,0.968421052631579,0.989247311827957,0.9787234042553192,93,753,-0.03157894736842104,-0.010752688172043001,-0.02127659574468077
od,low_seed2022,Low,2022,netflix,0,0.9444444444444444,0.85,0.8947368421052632,20,165,0.0,0.0,0.0
f0,low_seed2022,Low,2022,netflix,0,0.0,0.0,0.0,20,165,-0.9444444444444444,-0.85,-0.8947368421052632
f2,low_seed2022,Low,2022,netflix,0,0.0,0.0,0.0,20,165,-0.9444444444444444,-0.85,-0.8947368421052632
od,low_seed2022,Low,2022,rsync,1,0.665,0.6963350785340314,0.680306905370844,191,1530,0.0,0.0,0.0
f0,low_seed2022,Low,2022,rsync,1,0.4913043478260869,0.5916230366492147,0.5368171021377672,191,1530,-0.17369565217391314,-0.10471204188481675,-0.1434898032330768
f2,low_seed2022,Low,2022,rsync,1,0.6030927835051546,0.612565445026178,0.6077922077922078,191,1530,-0.06190721649484543,-0.08376963350785338,-0.07251469757863627
od,low_seed2022,Low,2022,sftp,2,0.6298701298701299,0.5843373493975904,0.60625,166,1336,0.0,0.0,0.0
f0,low_seed2022,Low,2022,sftp,2,0.5460122699386503,0.536144578313253,0.541033434650456,166,1336,-0.08385785993147965,-0.048192771084337394,-0.06521656534954401
f2,low_seed2022,Low,2022,sftp,2,0.5424836601307189,0.5,0.5203761755485894,166,1336,-0.087386469739411,-0.08433734939759041,-0.08587382445141056
od,low_seed2022,Low,2022,skype,3,0.9692307692307692,1.0,0.984375,126,1017,0.0,0.0,0.0
f0,low_seed2022,Low,2022,skype,3,0.943089430894309,0.9206349206349206,0.931726907630522,126,1017,-0.026141338336460263,-0.07936507936507942,-0.05264809236947798
f2,low_seed2022,Low,2022,skype,3,0.952,0.9444444444444444,0.9482071713147412,126,1017,-0.01723076923076927,-0.05555555555555558,-0.03616782868525881
od,low_seed2022,Low,2022,ssh,4,0.9977924944812362,1.0,0.9988950276243094,1356,10851,0.0,0.0,0.0
f0,low_seed2022,Low,2022,ssh,4,0.9954614220877458,0.9705014749262536,0.982823002240478,1356,10851,-0.0023310723934903965,-0.029498525073746396,-0.016072025383831345
f2,low_seed2022,Low,2022,ssh,4,0.9811866859623734,1.0,0.9905040175310446,1356,10851,-0.01660580851886284,0.0,-0.008391010093264817
od,low_seed2022,Low,2022,vimeo,5,0.9915966386554622,0.9752066115702479,0.9833333333333333,121,976,0.0,0.0,0.0
f0,low_seed2022,Low,2022,vimeo,5,0.7116564417177914,0.9586776859504132,0.8169014084507042,121,976,-0.2799401969376708,-0.016528925619834656,-0.16643192488262903
f2,low_seed2022,Low,2022,vimeo,5,0.9745762711864406,0.950413223140496,0.9623430962343096,121,976,-0.01702036746902158,-0.024793388429751873,-0.0209902370990237
