replicate,delta_unknown_far_multi_minus_single,delta_auroc_multi_minus_single,delta_auprc_multi_minus_single
321,0.0019716795124573583,0.018036545705122142,0.017304494942377235
322,0.0014339487363327352,0.019948191933833237,0.017309965768422253
323,0.0017924359204157803,0.021574075099011325,0.016372363374107357
324,0.004839576985122829,0.021150628038406838,0.014340906914415419
325,0.0032263846567485155,0.016439010096859552,0.013506202769282827
326,0.0026886538806237814,0.0186887504765888,0.017399590296788003
327,0.004301846208998095,0.018474710496283353,0.015168972045848772
328,0.006452769313497031,0.01968551477649383,0.013587983255522074
329,0.0021509231044990473,0.018902356122518893,0.014390428900136865
330,0.0007169743681663121,0.018331884807508136,0.017082791867831237
331,0.0005377307761247341,0.01970895642322379,0.016192264659965705
332,0.0026886538806237814,0.01949543350765115,0.018175719346209873
333,0.004301846208998095,0.018422755831923432,0.012704064292730632
334,0.0025094102885822034,0.018762715552497977,0.01752461412719747
335,0.0017924359204158913,0.01842101435790322,0.018368556081362897
336,0.0028678974726653594,0.019748257479440645,0.01656757710878043
337,0.0019716795124574693,0.020576421447765725,0.0145889804881138
338,0.0007169743681663121,0.020972025606634137,0.01444623575506937
339,-0.00017924359204157803,0.01895421151044996,0.020262046444427362
340,0.004122602616956517,0.019096251260831365,0.016843187142831173
341,0.0034056282487900935,0.016597997160925804,0.01568239083182066
342,0.0035848718408316715,0.018371847706582956,0.01554333582631312
343,0.005735794945330719,0.019022633652422738,0.016295747849960796
344,0.0005377307761247341,0.01884945419556827,0.01675937955071316
345,0.0035848718408316715,0.01889824442376309,0.015871917466070584
346,0.0025094102885822034,0.018546094385045953,0.012783739732551258
347,0.0010754615522494682,0.01994692202284931,0.012839733264570441
348,0.007707474457788188,0.019331482622149232,0.017847367963129246
349,0.004301846208997984,0.018276012860731883,0.014083603438590608
350,0.0019716795124573583,0.018884916563208343,0.014749806788217468
351,0.0028678974726653594,0.019607938520490364,0.01513503429282187
352,0.0008962179602080012,0.02083291037438184,0.01562472061632475
353,0.0019716795124573583,0.020419151038612693,0.015447637656758106
354,0.0032263846567485155,0.01920881004840258,0.017016205000415063
355,0.0014339487363326242,0.01912653057158875,0.012775805413024754
356,0.0032263846567485155,0.0189552787320586,0.015590783365691141
357,0.004660333393081251,0.01719226586320266,0.011621168092456835
358,0.0023301666965406254,0.017136133315801105,0.013764624288247373
359,0.0034056282487900935,0.017725682251196417,0.012585550003194002
360,-0.0019716795124574693,0.020723503613422012,0.014428070902977153
361,0.005556551353289141,0.018584477134297228,0.016330989506290083
362,-0.00017924359204168905,0.019069032973292432,0.01791388003958999
363,0.0019716795124574693,0.017586695250997875,0.013201337789667977
364,-0.00017924359204157803,0.021057651526399046,0.014708638736261104
365,0.0035848718408316715,0.018555600103095093,0.013838874024197756
366,0.0016131923283743133,0.018401196300821265,0.015412822799331649
367,0.004839576985122829,0.021318367974271335,0.014483381480265123
368,0.0028678974726653594,0.018730231477719572,0.014293967625989445
369,0.004301846208997984,0.01629329298209803,0.011337217747224126
370,0.0010754615522495792,0.01881110453845991,0.016130901996945224
371,0.004839576985122829,0.01877646947439271,0.014674861010353868
372,0.005377307761247563,0.01882318317062015,0.016887815759231428
373,0.005556551353289141,0.018976792761464467,0.015092140577250945
374,0.0023301666965406254,0.019061500374264018,0.013427760800916733
375,0.0032263846567485155,0.018766061995449168,0.017724462134025898
376,0.0028678974726653594,0.0180046696984697,0.017319305105848448
377,0.0030471410647069375,0.018516501736253743,0.011560505338161331
378,0.0016131923283743133,0.018915096597536984,0.01835708465654623
379,0.0026886538806237814,0.0189331607710449,0.016522966145052498
380,0.004660333393081251,0.018056458902114936,0.01644991035003407
381,-0.0005377307761247341,0.020236631324423437,0.015942266684605244
382,0.0005377307761248451,0.021015984381964614,0.017303070968877565
383,0.004122602616956406,0.019552484362018285,0.01695645668221013
384,0.0023301666965406254,0.018820308290705245,0.01470074036773078
385,0.003943359024914939,0.01944752849427911,0.01473989388441388
386,0.0025094102885822034,0.018430213973630538,0.015468859996142004
387,0.004481089801039562,0.019921527939688044,0.014876098604607313
388,0.0028678974726653594,0.016598088164318847,0.015334221892281674
389,0.0028678974726653594,0.01824010374916274,0.013150836610750616
390,-0.0019716795124573583,0.01810225015485878,0.014512754289387808
391,0.0023301666965405143,0.01916896297182813,0.016087289219722356
392,0.0025094102885822034,0.01686869916291933,0.013770416742649783
393,0.0017924359204158913,0.018436451842568036,0.018111897041125424
394,0.0021509231044990473,0.018435227433280632,0.01169623401976444
395,0.005915038537372297,0.01808415288920795,0.015377581562701526
396,0.0017924359204158913,0.018046324433350414,0.0178293800831002
397,0.0025094102885822034,0.017990502124788477,0.014437411838942982
398,-0.00035848718408315605,0.017379972770792063,0.01600623817303798
399,0.0023301666965405143,0.018418395942095933,0.016154001514872895
400,0.0023301666965406254,0.018161054892799955,0.013658906496332612
401,0.004839576985122718,0.017539923643520305,0.016239588821567452
402,0.0026886538806237814,0.015955947540812865,0.01695178080515186
403,0.0010754615522494682,0.017373904499086934,0.018270549634453848
404,0.0032263846567485155,0.01804268843414869,0.014002130070497498
405,0.0030471410647069375,0.018207487305812564,0.0145907273153148
406,0.00035848718408315605,0.019072652426422643,0.012823422739837886
407,0.005915038537372297,0.018761863429818226,0.01441867035841693
408,-0.00035848718408315605,0.020697348410974037,0.016900170611714116
409,0.005915038537372297,0.01910466493816476,0.011226355158083734
410,0.003943359024914939,0.01930687861389979,0.01598175213076103
411,0.0019716795124574693,0.017784052654761684,0.013571151273092885
412,0.0010754615522495792,0.019128644332216838,0.015862641877108785
413,0.005915038537372297,0.019360996677102005,0.014272829569485945
414,0.005377307761247563,0.017788151943963992,0.01340184784729015
415,0.0014339487363327352,0.019097467397083068,0.01751858571366205
416,-0.00035848718408315605,0.018385667812763407,0.015292779379917965
417,0.0026886538806237814,0.017347422511727828,0.011408191227954612
418,0.0007169743681663121,0.019142869817147967,0.013952417373924664
419,0.0007169743681663121,0.017915883479056927,0.018082876886884258
420,0.0012547051442911572,0.020296213727722945,0.020207760055319657
421,0.0030471410647069375,0.017504614327041423,0.01748969091107727
422,0.004122602616956517,0.017646046009296867,0.016037909361144187
423,0.005377307761247563,0.018795791149330943,0.01657897851761525
424,0.0028678974726653594,0.018067718503738117,0.015017793074658448
425,0.0021509231044990473,0.018299781292372974,0.01567583243591103
426,0.0010754615522495792,0.017636503062586795,0.014285152227777376
427,-0.0010754615522495792,0.017475985486911205,0.01590677788974415
428,0.0030471410647069375,0.019346039028509288,0.020776027889177096
429,0.0034056282487900935,0.020260337708296605,0.011635000730211842
430,0.0028678974726653594,0.018168496488435437,0.01563468054088618
431,0.004122602616956517,0.019083825161170798,0.015700886133801994
432,0.0030471410647069375,0.01879098451557415,0.01420651645369786
433,0.0012547051442910462,0.01877421920867517,0.016985578257155354
434,0.004122602616956406,0.01800623330222173,0.016836903803580827
435,0.005198064169205874,0.017270123402420956,0.01874081245269099
436,0.0014339487363326242,0.020883677858114957,0.01746494245213276
437,0.0014339487363326242,0.018526280464481903,0.01374108465432966
438,0.004301846208997984,0.019143333107148552,0.013674753560045882
439,0.0007169743681663121,0.018906749104489307,0.01386260892607899
440,-0.00017924359204157803,0.01879769808406595,0.016311268394697154
441,0.0012547051442911572,0.016268655881705674,0.014201151528498157
442,0.005377307761247452,0.018461002076085253,0.013273036861490228
443,0.0016131923283742022,0.019459487167421297,0.017176034491260705
444,0.004481089801039673,0.018708998731528537,0.017472775503174498
445,0.0028678974726653594,0.01846846849082795,0.015898635574983222
446,0.0035848718408317826,0.020468284597790043,0.01648353838703026
447,0.0023301666965406254,0.01900940093177883,0.016866984418670072
448,0.0023301666965405143,0.01870963575527962,0.016190381523668307
449,0.0030471410647069375,0.01914940965188916,0.01540612985723111
450,0.004122602616956517,0.018314821671322923,0.015507202971480893
451,0.0023301666965406254,0.018268116248131294,0.013393985013802567
452,0.0007169743681663121,0.020000779485426112,0.01789328566346221
453,0.005018820577164296,0.020678672032822365,0.011971242762596424
454,0.0,0.0185433311911134,0.016507542017407673
455,0.0007169743681664231,0.019745837616490847,0.01264457854310741
456,0.003943359024914828,0.016363365594698087,0.01777864036822413
457,0.0019716795124574693,0.018748576934442207,0.012890486665634082
458,0.0025094102885822034,0.01756426291462665,0.013018244098055465
459,0.005735794945330719,0.01765888989726172,0.014558505675055344
