analysis_level,dataset,dataset_scope,protocol_id,setting,seed,candidate,delta_auroc_vs_h0,delta_auprc_vs_h0,delta_ufar_vs_h0,delta_known_frr_vs_h0,delta_auroc_vs_des0,delta_auprc_vs_des0,delta_ufar_vs_des0,positive_vs_h0,negative_vs_h0,comparison,reference,protocols,mean_delta_auroc,std_delta_auroc,bootstrap_ci95_low_auroc,bootstrap_ci95_high_auroc,mean_delta_auprc,mean_delta_ufar,positive_protocols,negative_protocols,zero_protocols,worst_delta_auroc,best_delta_auroc,bootstrap_repetitions,bootstrap_seed
protocol,USTC-TFC2016,primary_development,a1_seed2024,A1,2024,H2,0.00037500000000012523,-7.76239626505415e-05,0.0,0.0,0.0002500000000000835,-7.083552383546632e-06,0.0,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a1_seed2024,A1,2024,H3,-0.0010749999999999371,-0.0015773136067739335,0.0,-0.0050000000000000044,-0.0011999999999999789,-0.0015067731965069386,0.0,0,1,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a1_seed2025,A1,2025,H1,-0.0010499999999999954,-0.0025480212784525502,0.0,0.019999999999999997,0.0003250000000000197,0.0005643410399085447,0.0,0,1,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a1_seed2025,A1,2025,H2,-0.0030999999999999917,-0.010583917765930928,0.0,0.009999999999999995,-0.0017249999999999766,-0.007471555447569833,0.0,0,1,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a1_seed2025,A1,2025,H3,-0.0009249999999999536,-0.002055720996530952,0.0,0.019999999999999997,0.00045000000000006146,0.001056641321830143,0.0,0,1,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a1_seed2026,A1,2026,H1,0.0018249999999999655,-0.0010651225169379108,-0.005,0.0,-0.0005500000000000504,0.0008005537668551721,0.0,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a1_seed2026,A1,2026,H2,0.0017125000000000057,0.0044224065242045585,-0.005,0.0049999999999999975,-0.0006625000000000103,0.006288082807997641,0.0,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a1_seed2026,A1,2026,H3,-0.004637500000000072,-0.013425004413296526,-0.005,0.019999999999999997,-0.007012500000000088,-0.011559328129503443,0.0,0,1,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a2_seed2022,A2,2022,H1,0.03458888888888889,0.02666819062755632,-0.11833333333333333,0.006666666666666668,-0.0046944444444445566,-0.0026091718225699223,0.035,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a2_seed2022,A2,2022,H2,0.03638888888888914,0.02742723929853863,-0.14,0.006666666666666668,-0.0028944444444443107,-0.0018501231515876126,0.013333333333333336,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a2_seed2022,A2,2022,H3,0.02875833333333333,0.018677623741779725,-0.09333333333333334,-0.003333333333333334,-0.010525000000000118,-0.010599738708346518,0.06,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a2_seed2023,A2,2023,H1,0.04519583333333321,0.02908747806341938,-0.05666666666666667,-0.006666666666666661,-0.01702361111111106,-0.009698895505826144,0.04000000000000001,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a2_seed2023,A2,2023,H2,0.06683888888888889,0.04064398601509078,-0.07666666666666666,-0.006666666666666661,0.00461944444444462,0.001857612445845258,0.020000000000000018,1,0,,,,,,,,,,,,,,,,
protocol,USTC-TFC2016,primary_development,a2_seed2023,A2,2023,H3,0.028505555555555673,0.016025398668942037,-0.013333333333333364,-0.0049999999999999975,-0.0337138888888886,-0.022760974900303488,0.08333333333333331,1,0,,,,,,,,,,,,,,,,
