protocol_id,class,local_label,train_support,val_support,precision,recall,f1,minority_class
medium_seed2022,zoiper,6,753,93,0.978494623655914,0.978494623655914,0.978494623655914,True
medium_seed2023,rdp,0,36,4,1.0,1.0,1.0,True
medium_seed2023,rsync,1,1530,191,0.72,0.094240837696335,0.1666666666666666,False
medium_seed2023,scp,2,1832,229,0.4353182751540041,0.925764192139738,0.5921787709497207,False
medium_seed2023,sftp,3,1336,166,0.8243243243243243,0.3674698795180723,0.5083333333333334,False
medium_seed2023,vimeo,4,976,121,1.0,0.9669421487603306,0.9831932773109244,False
medium_seed2023,youtube,5,273,34,0.8947368421052632,1.0,0.9444444444444444,True
medium_seed2023,zoiper,6,753,93,1.0,1.0,1.0,True
medium_seed2024,netflix,0,165,20,0.40625,0.65,0.5000000000000001,True
medium_seed2024,rdp,1,36,4,0.5,0.75,0.6,True
medium_seed2024,scp,2,1832,229,0.6158940397350994,0.8122270742358079,0.7005649717514124,False
medium_seed2024,sftp,3,1336,166,0.5376344086021505,0.3012048192771084,0.3861003861003861,False
medium_seed2024,skype,4,1017,126,0.992,0.984126984126984,0.98804780876494,False
medium_seed2024,vimeo,5,976,121,1.0,0.9917355371900828,0.995850622406639,False
medium_seed2024,youtube,6,273,34,0.7272727272727273,0.4705882352941176,0.5714285714285714,True
medium_seed2025,netflix,0,165,20,0.7222222222222222,0.65,0.6842105263157895,True
medium_seed2025,rdp,1,36,4,1.0,0.75,0.8571428571428571,True
medium_seed2025,rsync,2,1530,191,0.375,0.031413612565445,0.0579710144927536,False
medium_seed2025,scp,3,1832,229,0.5420792079207921,0.9563318777292577,0.6919431279620853,False
medium_seed2025,skype,4,1017,126,0.9767441860465116,1.0,0.988235294117647,False
medium_seed2025,ssh,5,10851,1356,1.0,0.9992625368731564,0.99963113242346,False
medium_seed2025,youtube,6,273,34,0.8,0.8235294117647058,0.8115942028985507,True
medium_seed2026,netflix,0,165,20,0.8636363636363636,0.95,0.9047619047619048,True
medium_seed2026,rdp,1,36,4,1.0,1.0,1.0,True
medium_seed2026,rsync,2,1530,191,0.9896373056994818,1.0,0.9947916666666666,False
medium_seed2026,skype,3,1017,126,0.9919354838709676,0.9761904761904762,0.984,False
medium_seed2026,ssh,4,10851,1356,0.9977876106194692,0.9977876106194692,0.9977876106194692,False
medium_seed2026,vimeo,5,976,121,0.9915966386554622,0.975206611570248,0.9833333333333334,False
medium_seed2026,zoiper,6,753,93,1.0,1.0,1.0,True
high_seed2022,rsync,0,1530,191,0.692,0.9057591623036648,0.7845804988662132,False
high_seed2022,sftp,1,1336,166,0.8317757009345794,0.536144578313253,0.652014652014652,False
high_seed2022,ssh,2,10851,1356,1.0,1.0,1.0,False
high_seed2022,vimeo,3,976,121,1.0,0.975206611570248,0.98744769874477,True
high_seed2022,youtube,4,273,34,0.9444444444444444,1.0,0.9714285714285714,True
high_seed2022,zoiper,5,753,93,0.9893617021276596,1.0,0.9946524064171124,True
high_seed2023,rdp,0,36,4,1.0,1.0,1.0,True
high_seed2023,scp,1,1832,229,0.6903914590747331,0.8471615720524017,0.7607843137254902,False
high_seed2023,sftp,2,1336,166,0.6929824561403509,0.4759036144578313,0.5642857142857143,False
high_seed2023,vimeo,3,976,121,1.0,0.975206611570248,0.98744769874477,False
high_seed2023,youtube,4,273,34,0.918918918918919,1.0,0.9577464788732396,True
high_seed2023,zoiper,5,753,93,1.0,1.0,1.0,True
high_seed2024,netflix,0,165,20,0.85,0.85,0.85,True
high_seed2024,rdp,1,36,4,0.75,0.75,0.75,True
high_seed2024,scp,2,1832,229,0.7208480565371025,0.8908296943231441,0.796875,False
high_seed2024,sftp,3,1336,166,0.7767857142857143,0.5240963855421686,0.6258992805755396,False
high_seed2024,skype,4,1017,126,0.9921259842519684,1.0,0.9960474308300395,False
high_seed2024,youtube,5,273,34,0.9393939393939394,0.9117647058823528,0.9253731343283584,True
high_seed2025,netflix,0,165,20,1.0,1.0,1.0,True
high_seed2025,rdp,1,36,4,1.0,0.5,0.6666666666666666,True
high_seed2025,rsync,2,1530,191,0.4157303370786517,0.387434554973822,0.4010840108401085,False
high_seed2025,scp,3,1832,229,0.5165289256198347,0.5458515283842795,0.5307855626326964,False
high_seed2025,skype,4,1017,126,0.9767441860465116,1.0,0.988235294117647,True
high_seed2025,ssh,5,10851,1356,1.0,0.9992625368731564,0.99963113242346,False
high_seed2026,netflix,0,165,20,1.0,0.9,0.9473684210526316,True
high_seed2026,rsync,1,1530,191,1.0,0.9947643979057592,0.9973753280839897,False
high_seed2026,skype,2,1017,126,0.9918032786885246,0.9603174603174603,0.9758064516129032,False
high_seed2026,ssh,3,10851,1356,0.9955914768552536,0.9992625368731564,0.9974236290025764,False
high_seed2026,vimeo,4,976,121,0.9836065573770492,0.9917355371900828,0.9876543209876544,True
high_seed2026,zoiper,5,753,93,0.9893617021276596,1.0,0.9946524064171124,True
