row_type,scenario,training_method,detector,metric,mean,median,std,min,max,positive_count,negative_count,zero_count
paired_delta,a3,DAP,K1_K2_GAP,dap_k1_minus_native_auroc,0.03482576270357736,0.02964639156828086,0.033174454209364955,-0.004210970219150734,0.08669617605400304,4,1,0
paired_delta,a3,DAP,K1_K2_GAP,dap_k2_minus_k1_auroc,0.003361442119786595,0.001718919265800034,0.004356064181246098,-0.0007746596157872654,0.009621364103770791,4,1,0
method_metric,a3,B0,Native,auroc,0.9699341921308641,0.9753835481855088,0.01824525564933681,0.9427439452023816,0.9901372232348992,,,
method_metric,a3,B0,Native,binary_f1,0.9166790704033161,0.9329929802169751,0.041168031352211684,0.8493894165535957,0.9531442663378545,,,
method_metric,a3,B0,Native,ufar,0.11025957972805933,0.09641532756489493,0.0715088625857902,0.04449938195302843,0.22620519159456118,,,
method_metric,a3,B0,Native,known_frr,0.04894932014833127,0.049443757725587144,0.009598649522035688,0.03337453646477132,0.05686032138442522,,,
method_metric,a3,B0,K1,auroc,0.992982072818004,0.993374903167548,0.003009381811440006,0.987895752512296,0.9954742765641784,,,
method_metric,a3,B0,K1,binary_f1,0.970918451225056,0.9721886336154776,0.003861249422071192,0.9657657657657658,0.974390243902439,,,
method_metric,a3,B0,K1,ufar,0.0103831891223733,0.00865265760197775,0.005215086059265509,0.006180469715698393,0.018541409147095178,,,
method_metric,a3,B0,K1,known_frr,0.04894932014833127,0.05067985166872682,0.012563239502864686,0.03337453646477132,0.06427688504326329,,,
method_metric,a3,B0,K2,auroc,0.9899601363523158,0.9915910469517067,0.004167145572752326,0.9826014811736322,0.9927423408777336,,,
method_metric,a3,B0,K2,binary_f1,0.965693154577856,0.9687875150060024,0.010679988994536774,0.950186799501868,0.9768292682926829,,,
method_metric,a3,B0,K2,ufar,0.020024721878862794,0.009888751545117428,0.0218057622459332,0.002472187886279357,0.05686032138442522,,,
method_metric,a3,B0,K2,known_frr,0.049443757725587144,0.04697156983930779,0.010776017165737142,0.037082818294190356,0.06180469715698393,,,
method_metric,a3,B0,Native,known_test_accuracy,0.9970588235294118,0.9973604826546003,0.0009389064553535964,0.995475113122172,0.997737556561086,,,
method_metric,a3,B0,Native,known_test_macro_f1,0.9735443495397176,0.9742125437193901,0.005689020114529212,0.966327766762063,0.9814184032871406,,,
method_metric,a3,B0,Native,normalized_prototype_gap,1.1904117507661567,1.226385996932178,0.08282923330487661,1.0725452459366176,1.2801107249108805,,,
method_metric,a3,DAP,Native,auroc,0.9335248846032199,0.9463055459211192,0.042801732321620066,0.8771194274547314,0.9837504832073046,,,
method_metric,a3,DAP,Native,binary_f1,0.7633508040170731,0.7914285714285715,0.15729864394868498,0.5745393634840871,0.9429280397022333,,,
method_metric,a3,DAP,Native,ufar,0.32805933250927066,0.315203955500618,0.22222308380230743,0.06056860321384425,0.5760197775030902,,,
method_metric,a3,DAP,Native,known_frr,0.05092707045735475,0.0519159456118665,0.012587539795402686,0.034610630407911,0.069221260815822,,,
method_metric,a3,DAP,K1,auroc,0.9683506473067973,0.9759519374894,0.015851106779472473,0.942516283895178,0.97992989865252,,,
method_metric,a3,DAP,K1,binary_f1,0.8818101455695532,0.9249211356466877,0.07131579234284333,0.8005698005698005,0.9473031618102914,,,
method_metric,a3,DAP,K1,ufar,0.16143386897404202,0.09394313967861558,0.12061452282360183,0.05562422744128554,0.3053152039555006,,,
method_metric,a3,DAP,K1,known_frr,0.0553770086526576,0.05315203955500618,0.01160875835043154,0.0407911001236094,0.07045735475896168,,,
method_metric,a3,DAP,K2,auroc,0.9717120894265838,0.9797625905106491,0.017102536529462767,0.9417416242793908,0.9819704468120543,,,
method_metric,a3,DAP,K2,binary_f1,0.8930940997681566,0.940389294403893,0.08035335967431458,0.7583212735166426,0.9456118665018541,,,
method_metric,a3,DAP,K2,ufar,0.1406674907292954,0.06551297898640297,0.13156534730009045,0.04449938195302843,0.3522867737948084,,,
method_metric,a3,DAP,K2,known_frr,0.055624227441285534,0.054388133498145856,0.014335492589299384,0.038318912237330034,0.07663782447466007,,,
method_metric,a3,DAP,Native,known_test_accuracy,0.9093514328808446,0.9717194570135747,0.11565588829307144,0.7107843137254902,0.9807692307692307,,,
method_metric,a3,DAP,Native,known_test_macro_f1,0.8792425268262974,0.9426688189864072,0.10864193853629561,0.6923919470794444,0.9442219149049229,,,
method_metric,a3,DAP,Native,normalized_prototype_gap,1.325504966623916e-05,1.4115773588800343e-05,2.6562690808900016e-06,8.850222238950467e-06,1.5404525534917488e-05,,,
