protocol_id,unknown_service,seed,variant,local_label,service,precision,recall,f1,support
loso_email,Email,2024,E4_LENGTH,0,Chat,0.5384615384615384,0.7777777777777778,0.6363636363636364,9
loso_email,Email,2024,E4_LENGTH,1,File-Transfer,0.5925925925925926,0.7272727272727273,0.6530612244897959,22
loso_email,Email,2024,E4_LENGTH,2,P2P,0.96,0.48,0.64,50
loso_email,Email,2024,E4_LENGTH,3,Streaming,0.6507936507936508,0.7884615384615384,0.7130434782608696,52
loso_email,Email,2024,E4_LENGTH,4,VoIP,0.7241379310344828,0.875,0.7924528301886793,24
loso_email,Email,2024,E4_TIME_LENGTH,0,Chat,0.875,0.7777777777777778,0.8235294117647058,9
loso_email,Email,2024,E4_TIME_LENGTH,1,File-Transfer,0.5925925925925926,0.7272727272727273,0.6530612244897959,22
loso_email,Email,2024,E4_TIME_LENGTH,2,P2P,0.9615384615384616,0.5,0.6578947368421053,50
loso_email,Email,2024,E4_TIME_LENGTH,3,Streaming,0.6285714285714286,0.8461538461538461,0.7213114754098361,52
loso_email,Email,2024,E4_TIME_LENGTH,4,VoIP,0.8846153846153846,0.9583333333333334,0.92,24
loso_email,Email,2024,E4_NO_MS,0,Chat,0.8571428571428571,0.6666666666666666,0.75,9
loso_email,Email,2024,E4_NO_MS,1,File-Transfer,0.5333333333333333,0.7272727272727273,0.6153846153846154,22
loso_email,Email,2024,E4_NO_MS,2,P2P,1.0,0.48,0.6486486486486487,50
loso_email,Email,2024,E4_NO_MS,3,Streaming,0.625,0.8653846153846154,0.7258064516129032,52
loso_email,Email,2024,E4_NO_MS,4,VoIP,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
loso_email,Email,2024,E4_NO_RNN,0,Chat,0.5384615384615384,0.7777777777777778,0.6363636363636364,9
loso_email,Email,2024,E4_NO_RNN,1,File-Transfer,0.4848484848484848,0.7272727272727273,0.5818181818181818,22
loso_email,Email,2024,E4_NO_RNN,2,P2P,1.0,0.44,0.6111111111111112,50
loso_email,Email,2024,E4_NO_RNN,3,Streaming,0.6333333333333333,0.7307692307692307,0.6785714285714286,52
loso_email,Email,2024,E4_NO_RNN,4,VoIP,0.7931034482758621,0.9583333333333334,0.8679245283018868,24
loso_email,Email,2024,E4_BASE,0,Chat,0.6666666666666666,0.6666666666666666,0.6666666666666666,9
loso_email,Email,2024,E4_BASE,1,File-Transfer,0.5333333333333333,0.7272727272727273,0.6153846153846154,22
loso_email,Email,2024,E4_BASE,2,P2P,1.0,0.52,0.6842105263157895,50
loso_email,Email,2024,E4_BASE,3,Streaming,0.6521739130434783,0.8653846153846154,0.743801652892562,52
loso_email,Email,2024,E4_BASE,4,VoIP,0.9565217391304348,0.9166666666666666,0.9361702127659576,24
loso_streaming,Streaming,2022,E4_FULL,0,Chat,0.7,0.7777777777777778,0.7368421052631579,9
loso_streaming,Streaming,2022,E4_FULL,1,Email,0.9,0.75,0.8181818181818182,12
loso_streaming,Streaming,2022,E4_FULL,2,File-Transfer,0.6666666666666666,0.7272727272727273,0.6956521739130435,22
loso_streaming,Streaming,2022,E4_FULL,3,P2P,0.8541666666666666,0.82,0.8367346938775511,50
