unknown_service,variant,service,runs,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
Streaming,E4_FULL,VoIP,3,0.8705555555555556,0.09828467094725345,0.9444444444444445,0.01964185503295969,0.9039745527840766,0.06354904283280928
Streaming,E4_TIME,Chat,3,0.36410256410256414,0.04037952755903492,0.48148148148148145,0.05237828008789243,0.41307814992025516,0.03753940126296592
Streaming,E4_TIME,Email,3,0.9047619047619048,0.13468700594029476,0.36111111111111116,0.07856742013183862,0.5048503611971104,0.07833136854079946
Streaming,E4_TIME,File-Transfer,3,1.0,0.0,0.3636363636363636,0.0,0.5333333333333333,0.0
Streaming,E4_TIME,P2P,3,0.6523199198204453,0.015458174322442179,0.8866666666666667,0.018856180831641284,0.7514705774893864,0.012597228369041012
Streaming,E4_TIME,VoIP,3,0.8363636363636364,0.05142594772265802,0.8333333333333334,0.0,0.834072759538598,0.025096957628626335
Streaming,E4_LENGTH,Chat,3,0.7592592592592592,0.013094570021973107,0.7037037037037037,0.05237828008789243,0.7298474945533769,0.03389182829216566
Streaming,E4_LENGTH,Email,3,0.75,0.0,0.75,0.0,0.75,0.0
Streaming,E4_LENGTH,File-Transfer,3,0.6666666666666666,0.0,0.7272727272727272,1.1102230246251565e-16,0.6956521739130435,0.0
Streaming,E4_LENGTH,P2P,3,0.8406859218145065,0.007829215494235466,0.7733333333333334,0.009428090415820642,0.8055412371134021,0.005200611149230805
Streaming,E4_LENGTH,VoIP,3,0.7884615384615384,0.027196414661021066,0.875,0.0,0.8292307692307692,0.01522999221017177
Streaming,E4_TIME_LENGTH,Chat,3,0.8009259259259259,0.053591837512917705,0.7407407407407408,0.05237828008789243,0.7690631808278866,0.04842289928299096
Streaming,E4_TIME_LENGTH,Email,3,0.8962962962962963,0.005237828008789275,0.7222222222222222,0.039283710065919325,0.7994227994227995,0.02652925874581568
Streaming,E4_TIME_LENGTH,File-Transfer,3,0.6666666666666666,0.0,0.7272727272727272,1.1102230246251565e-16,0.6956521739130435,0.0
Streaming,E4_TIME_LENGTH,P2P,3,0.847032252617359,0.012254452977637406,0.8133333333333334,0.024944382578492918,0.8297810845675353,0.01876596447505775
Streaming,E4_TIME_LENGTH,VoIP,3,0.8526319359652693,0.02580180534503108,0.9583333333333334,0.0,0.9021920563097034,0.014446634360786458
Streaming,E4_NO_MS,Chat,3,0.6777777777777777,0.06983225049986962,0.7407407407407408,0.05237828008789243,0.7031303749570004,0.028715014454364234
Streaming,E4_NO_MS,Email,3,0.8224358974358975,0.09257883965362054,0.6944444444444445,0.0785674201318386,0.7460606060606061,0.05164689037670233
Streaming,E4_NO_MS,File-Transfer,3,0.6711111111111111,0.00628539361054713,0.7424242424242425,0.021427478217774146,0.7049028677150786,0.013082456636198874
Streaming,E4_NO_MS,P2P,3,0.8504365079365078,0.007479079750398728,0.8333333333333334,0.009428090415820642,0.8417398474541332,0.004952227458197555
